Date,Region,Category,Product,Units Sold,Unit Price,Revenue,Profit
2024-01-15,North,Electronics,Smartphone,120,500,60000,12000
2024-02-10,South,Fashion,T-Shirt,300,20,6000,1800
2024-02-12,East,Electronics,Laptop,50,1000,50000,10000
2024-03-05,West,Home,Kettle,200,30,6000,1500
2024-03-18,North,Fashion,Jeans,150,40,6000,1800
2024-04-10,East,Electronics,Tablet,80,400,32000,6400
2024-04-22,South,Home,Blender,100,70,7000,2100
2024-05-02,West,Fashion,Shoes,90,60,5400,1620
2024-05-14,North,Home,Vacuum Cleaner,40,200,8000,2400
2024-06-09,East,Electronics,Headphones,300,50,15000,3000
2024-06-25,South,Fashion,Cap,250,15,3750,1125
2024-07-13,West,Home,Microwave,30,150,4500,1350
2024-07-27,North,Electronics,Smartwatch,110,250,27500,5500
2024-08-05,South,Fashion,Jacket,70,100,7000,2100
2024-08-19,East,Home,Toaster,120,40,4800,1440
2024-09-02,West,Electronics,Camera,45,800,36000,7200
2024-09-18,North,Fashion,Dress,95,70,6650,1995
2024-10-11,South,Home,Fan,140,60,8400,2520
2024-10-23,East,Electronics,Monitor,60,300,18000,3600
2024-11-08,West,Fashion,Suit,30,200,6000,1800
2024-11-25,North,Home,Heater,55,100,5500,1650
2024-12-03,South,Electronics,Tablet,75,400,30000,6000
2024-12-21,East,Fashion,Shoes,110,80,8800,2640
2025-01-07,West,Home,Iron,95,50,4750,1425
2025-01-22,North,Electronics,Laptop,65,1000,65000,13000
